"";"Method";"sensitivity_mean_3";"sensitivity_mean_5";"sensitivity_mean_10";"sensitivity_sd_3";"sensitivity_sd_5";"sensitivity_sd_10";"false.disc.rate_mean_3";"false.disc.rate_mean_5";"false.disc.rate_mean_10";"false.disc.rate_sd_3";"false.disc.rate_sd_5";"false.disc.rate_sd_10";"Sensitivity_3";"Sensitivity_5";"Sensitivity_10";"FDR_3";"FDR_5";"FDR_10"
"33";"Av.2step.EWAS_LM.bon";"38.997";"14.2";"5.6";"26.8384898301606";"14.576860035167";"6.71497647731614";"5";"4.333";"7.5";"19.4624736040381";"17.3464929940296";"23.9686242720551";"39 (26.8)";"14.2 (14.6)";"5.6 (6.7)";"5 (19.5)";"4.3 (17.3)";"7.5 (24)"
"34";"Av.2step.EWAS_LM.bh";"43.665";"17.4";"7";"31.329530314018";"19.4167479514491";"7.58786910639328";"11.916";"10.999";"8.417";"26.3061298690413";"26.6247530267864";"24.718475709763";"43.7 (31.3)";"17.4 (19.4)";"7 (7.6)";"11.9 (26.3)";"11 (26.6)";"8.4 (24.7)"
"35";"Av.2step.EWAS_LM.by";"31.996";"12.6";"3.3";"29.1840205342831";"15.2169496140178";"5.69511575249735";"2.5";"3.667";"3";"14.8647097502641";"16.8487631353734";"13.8898989531707";"32 (29.2)";"12.6 (15.2)";"3.3 (5.7)";"2.5 (14.9)";"3.7 (16.8)";"3 (13.9)"
"36";"Av.2step.ENET_MIN";"83.345";"64";"46";"20.9142954106815";"27.1174028135722";"21.8812220588311";"70.044";"61.381";"59.066";"21.2943978026564";"28.3476530480626";"22.2905479809925";"83.3 (20.9)";"64 (27.1)";"46 (21.9)";"70 (21.3)";"61.4 (28.3)";"59.1 (22.3)"
"37";"Av.2step.ENET_OPT";"10.997";"2.6";"1.4";"22.7488015224335";"10.1124985173114";"5.86377339124206";"2.75";"1.333";"0.667";"15.0315325132526";"10.5079100075739";"5.25549361442987";"11 (22.7)";"2.6 (10.1)";"1.4 (5.9)";"2.8 (15)";"1.3 (10.5)";"0.7 (5.3)"
"38";"Av.2step.SPLS";"63.673";"42.8";"29";"29.6328982311173";"28.7124370335233";"23.3333333333333";"22.144";"28.818";"28.855";"28.3587597853936";"31.2319325710276";"32.3267890128108";"63.7 (29.6)";"42.8 (28.7)";"29 (23.3)";"22.1 (28.4)";"28.8 (31.2)";"28.9 (32.3)"
"39";"Av.2step.MMPC";"76.344";"55.6";"28.9";"22.8687485579351";"23.1952624908666";"12.5444663642435";"44.486";"40.845";"40.407";"20.2369549951258";"23.5008677037313";"23.6779454771777";"76.3 (22.9)";"55.6 (23.2)";"28.9 (12.5)";"44.5 (20.2)";"40.8 (23.5)";"40.4 (23.7)"
"40";"Av.2step.DSA";"59.67";"27.6";"13";"29.3311655535076";"26.7845877588986";"13.9624315557676";"13.621";"19.589";"18.029";"23.0733537994708";"30.6034852936918";"28.4835032709437";"59.7 (29.3)";"27.6 (26.8)";"13 (14)";"13.6 (23.1)";"19.6 (30.6)";"18 (28.5)"
"41";"DLNMpen.none";"96.67";"81.4";"57.4";"10.0403277744395";"18.6958646105323";"14.6763053727408";"78.508";"72.141";"66.358";"8.0996156536822";"10.7951924859208";"10.0381512644551";"96.7 (10)";"81.4 (18.7)";"57.4 (14.7)";"78.5 (8.1)";"72.1 (10.8)";"66.4 (10)"
"42";"DLNMpen.bonf";"64.67";"31.4";"12.2";"27.9688914490526";"21.3210191732445";"10.8785768528532";"14.478";"16.546";"20.746";"21.2919891987668";"23.5185609915044";"27.9371640535244";"64.7 (28)";"31.4 (21.3)";"12.2 (10.9)";"14.5 (21.3)";"16.5 (23.5)";"20.7 (27.9)"
"43";"DLNMpen.bh";"74.008";"42.6";"21.2";"26.2042161770686";"26.9162562122753";"18.8711741055296";"27.517";"24.343";"28.281";"26.4967810318632";"27.5194926508026";"28.3433340460942";"74 (26.2)";"42.6 (26.9)";"21.2 (18.9)";"27.5 (26.5)";"24.3 (27.5)";"28.3 (28.3)"
"44";"DLNMpen.by";"58.001";"23.6";"9.3";"31.6588905763492";"23.5067151377145";"11.9978954383465";"11.204";"13.731";"16.46";"20.5700769236886";"24.102620231423";"26.2618169649975";"58 (31.7)";"23.6 (23.5)";"9.3 (12)";"11.2 (20.6)";"13.7 (24.1)";"16.5 (26.3)"
"45";"DLNMselect.none";"91.674";"79.2";"51.2";"15.2491537768196";"17.2726209459779";"15.5231986706895";"82.368";"75.409";"70.827";"5.51989752503329";"6.70044616334456";"9.71462351823323";"91.7 (15.2)";"79.2 (17.3)";"51.2 (15.5)";"82.4 (5.5)";"75.4 (6.7)";"70.8 (9.7)"
"46";"DLNMselect.bonf";"61.671";"32";"10.2";"25.6930808396016";"20.3007687569021";"9.31816949986867";"18.313";"19.798";"35.466";"24.4881569190686";"27.2160454010631";"39.7886771874013";"61.7 (25.7)";"32 (20.3)";"10.2 (9.3)";"18.3 (24.5)";"19.8 (27.2)";"35.5 (39.8)"
"47";"DLNMselect.bh";"74.008";"41.4";"20.7";"24.4319284394975";"25.1468414788744";"16.8927095625195";"35.965";"32.328";"41.646";"24.5678955122125";"28.1092101085977";"32.5842634758349";"74 (24.4)";"41.4 (25.1)";"20.7 (16.9)";"36 (24.6)";"32.3 (28.1)";"41.6 (32.6)"
