"";"Method";"sensitivity_mean_3";"sensitivity_mean_5";"sensitivity_mean_10";"sensitivity_sd_3";"sensitivity_sd_5";"sensitivity_sd_10";"false.disc.rate_mean_3";"false.disc.rate_mean_5";"false.disc.rate_mean_10";"false.disc.rate_sd_3";"false.disc.rate_sd_5";"false.disc.rate_sd_10";"Sensitivity_3";"Sensitivity_5";"Sensitivity_10";"FDR_3";"FDR_5";"FDR_10"
"60";"DLNMselect.2step.bh";"95.004";"82.8";"54.4";"12.8583810659182";"15.8324561160506";"17.4263239863365";"32.732";"33.415";"24.094";"23.5523224958707";"18.5775327269856";"17.1890781626243";"95 (12.9)";"82.8 (15.8)";"54.4 (17.4)";"32.7 (23.6)";"33.4 (18.6)";"24.1 (17.2)"
"61";"DLNMselect.2step.by";"91.674";"71.4";"35.4";"15.2491537768196";"18.0358789442857";"17.3740779858554";"11.749";"12.159";"9.563";"16.9216166515203";"16.1307604697774";"15.4426449754692";"91.7 (15.2)";"71.4 (18)";"35.4 (17.4)";"11.7 (16.9)";"12.2 (16.1)";"9.6 (15.4)"
"62";"DLNMselectback.2step.none";"95.669";"85.8";"63";"13.104873756035";"15.9024805891687";"15.5375075676294";"66.879";"58.163";"46.157";"9.99628511806342";"13.35705960959";"11.3750857916623";"95.7 (13.1)";"85.8 (15.9)";"63 (15.5)";"66.9 (10)";"58.2 (13.4)";"46.2 (11.4)"
"63";"DLNMselectback.2step.bonf";"91.008";"68.6";"33";"15.5976991310199";"19.7468831449268";"14.3195846675281";"10.782";"10.216";"9.978";"15.7907425890979";"15.4732726227054";"17.1594988271802";"91 (15.6)";"68.6 (19.7)";"33 (14.3)";"10.8 (15.8)";"10.2 (15.5)";"10 (17.2)"
"64";"DLNMselectback.2step.bh";"94.338";"80";"48.8";"13.4376283080555";"17.9786629990198";"17.4818809518931";"29.839";"31.099";"22.989";"23.5962028061442";"18.9116953553118";"16.8679655446696";"94.3 (13.4)";"80 (18)";"48.8 (17.5)";"29.8 (23.6)";"31.1 (18.9)";"23 (16.9)"
"65";"DLNMselectback.2step.by";"91.008";"68.8";"32.4";"15.5976991310199";"19.346912681434";"16.8846352963548";"9.599";"11.826";"9.085";"15.7193151147487";"16.2358166229525";"15.7674410406285";"91 (15.6)";"68.8 (19.3)";"32.4 (16.9)";"9.6 (15.7)";"11.8 (16.2)";"9.1 (15.8)"
"66";"DLNMselectforward.2step.none";"96.335";"88";"63.7";"12.4384494713982";"15.0420286618071";"15.5475809284683";"68.656";"59.574";"42.933";"7.86587463912208";"9.63079677205612";"12.1766961981906";"96.3 (12.4)";"88 (15)";"63.7 (15.5)";"68.7 (7.9)";"59.6 (9.6)";"42.9 (12.2)"
"67";"DLNMpen.AVG";"99.334";"95.6";"82.4";"4.68548629473845";"8.32666399786453";"10.8357806093581";"75.35";"66.956";"58.63";"11.8623374806591";"11.3003827592277";"9.0886598227537";"99.3 (4.7)";"95.6 (8.3)";"82.4 (10.8)";"75.3 (11.9)";"67 (11.3)";"58.6 (9.1)"
"68";"DLNMselect.AVG";"98.335";"92.2";"72.7";"7.29412902146776";"11.6844021038842";"13.9880901722382";"50.898";"41.374";"33.652";"16.2301501452505";"14.4088750708749";"12.8510698371613";"98.3 (7.3)";"92.2 (11.7)";"72.7 (14)";"50.9 (16.2)";"41.4 (14.4)";"33.7 (12.9)"
"69";"DLNMselectback.AVG";"98.335";"92";"72";"7.29412902146776";"11.7206543065538";"14.070529413629";"48.498";"39.862";"32.296";"16.7121438940476";"15.4049039810921";"12.8334625731391";"98.3 (7.3)";"92 (11.7)";"72 (14.1)";"48.5 (16.7)";"39.9 (15.4)";"32.3 (12.8)"
"70";"DLNMpen.AVG.2step.none";"96.67";"89.8";"76.7";"10.0403277744395";"12.2251603447376";"12.5573432176901";"74.553";"66.744";"58.18";"12.5882136231565";"11.7108886567721";"9.22594059150501";"96.7 (10)";"89.8 (12.2)";"76.7 (12.6)";"74.6 (12.6)";"66.7 (11.7)";"58.2 (9.2)"
